,0_x,0_y
0,6802,9.048904
1,6806,10.991691
2,6808,10.788519
3,6810,11.128199
4,6813,11.040717
5,6816,9.215155
6,6820,10.95889
7,6821,7.585876
8,6826,9.892426
9,6830,9.531781
10,6835,10.430742
11,6837,9.4771
12,6838,9.016846
13,6839,9.890957
14,6840,10.818787
15,6842,9.317014
16,6844,10.649445
17,6845,10.909412
18,6846,9.852169
19,6853,10.324605
20,6854,10.763736
21,6855,10.729163
22,6856,10.660993
23,6858,10.525795
24,6859,10.02346
25,6860,10.318267
26,6861,9.764734
27,6878,11.249525
28,6879,10.532401
29,6880,10.419607
30,6881,10.896492
31,6882,10.901829
32,6884,10.728825
33,6885,10.842647
34,6886,10.040081
35,6889,11.42914
36,6891,10.824808
37,6892,9.988599
38,6895,10.856548
39,6900,10.366939
40,6901,9.475935
41,6903,9.463695
42,6906,10.657271
43,6908,10.535023
44,6909,11.404406
45,6915,10.899728
46,6916,9.843689
47,6922,11.373771
48,6926,9.532397
49,6929,9.485131
50,6930,10.016542
51,6933,10.982737
52,6934,11.328157
53,6935,11.458129
54,6936,11.698333
55,6942,11.250079
56,6943,10.637549
57,6949,10.273573
58,6955,10.5531435
59,6956,10.053575
60,6957,10.066198
61,6964,9.896119
62,6965,10.101559
63,6967,9.696162
64,6968,10.293515
65,6969,10.73964
66,6971,10.713268
67,6973,11.209421
68,6974,10.609671
69,6975,9.925888
70,6977,11.063638
71,6979,10.723618
72,6983,11.015554
73,6988,10.778243
74,6998,10.582158
75,6999,0.34993932
76,7000,9.970003
77,7001,10.113212
78,7002,9.472532
79,7003,10.199513
80,7004,10.13867
81,7005,10.371747
82,7007,11.055392
83,7008,9.679859
84,7010,9.471954
85,7011,10.611962
86,7012,10.788672
87,7014,10.207019
88,7015,10.477941
89,7017,10.606956
90,7019,10.724829
91,7024,11.030352
92,7025,10.971073
93,7026,11.27678
94,7029,10.992589
95,7030,11.02186
96,7032,10.519461
97,7039,10.739856
98,7040,9.977603
99,7043,11.637932
100,7045,11.296551
101,7048,10.60545
102,7049,11.241358
103,7052,11.0773535
104,7054,11.315846
105,7055,10.223832
106,7060,9.3530245
107,7063,10.787228
108,7069,10.060862
109,7070,10.164335
110,7072,1.4109403
111,7076,11.282605
112,7077,10.924731
113,7079,11.145326
114,7080,11.525237
115,7083,11.418962
116,7084,10.948197
117,7086,11.328194
118,7088,11.04569
119,7092,11.107155
120,7096,10.692727
121,7097,11.154342
122,7100,9.184855
123,7102,11.553022
124,7103,9.80155
125,7104,10.140817
126,7105,10.588964
127,7107,10.014125
128,7109,11.074011
129,7112,11.096535
130,7115,10.702154
131,7116,11.076656
132,7117,10.980219
133,7118,10.923344
134,7119,11.20595
135,7123,11.424075
136,7130,9.882771
137,7135,10.129047
138,7136,10.964181
139,7137,10.063387
140,7138,10.185973
141,7139,10.598141
142,7140,10.77397
143,7147,10.614242
144,7149,11.075551
145,7157,10.933294
146,7162,9.712577
147,7163,10.548642
148,7166,10.791716
149,7167,9.443362
150,7176,10.186968
151,7177,9.726332
152,7179,9.967183
153,7182,10.498836
154,7188,10.558483
155,7192,11.095148
156,7193,11.06388
157,7194,10.9532995
158,7198,10.92197
159,7203,10.391424
160,7205,9.687554
161,7206,10.522497
162,7209,10.88366
163,7210,10.692852
164,7211,10.79498
165,7214,10.888904
166,7216,11.672725
167,7234,10.693467
168,7235,10.948386
169,7237,10.8130865
170,7238,11.212397
171,7239,10.960211
172,7241,10.411531
173,7246,9.160942
174,7248,10.891106
175,7254,9.8354435
176,7255,10.226392
177,7259,10.5145445
178,7260,10.736031
179,7264,10.733532
180,7266,9.987813
181,7268,10.731387
182,7269,10.602783
183,7270,9.935663
184,7271,10.475265
185,7281,10.505401
186,7286,10.381144
187,7287,10.35291
188,7288,11.116656
189,7289,11.147816
190,7290,10.60412
191,7291,10.584349
192,7292,10.327122
193,7293,9.793627
194,7294,10.149702
195,7295,10.766114
196,7302,9.449937
197,7307,10.883221
198,7311,9.874565
199,7312,10.453463
200,7313,10.824646
201,7314,10.744587
202,7315,10.528038
203,7318,10.618273
204,7321,10.262445
205,7326,11.00663
206,7329,10.9065695
207,7331,11.24238
208,7333,10.672695
209,7336,10.882842
210,7338,11.18642
211,7339,10.447898
212,7340,10.20757
213,7344,11.024292
214,7346,9.907532
215,7347,11.3737
216,7355,10.079329
217,7358,10.156799
218,7365,10.951391
219,7366,10.777215
220,7368,9.796219
221,7369,11.41628
222,7370,10.653222
223,7371,9.997875
224,7372,10.257393
225,7375,10.119094
226,7376,10.265837
227,7377,10.629889
228,7379,10.908868
229,7380,11.397562
230,7381,11.404224
231,7382,10.482882
232,7383,10.133211
233,7384,10.791863
234,7385,10.251567
235,7386,10.051714
236,7387,10.891412
237,7389,10.654683
238,7398,10.907729
239,7403,10.621815
240,7404,10.33937
241,7405,11.45663
242,7406,10.462064
243,7407,10.679981
244,7409,10.36749
245,7410,11.062764
246,7416,10.93084
247,7422,10.488594
248,7428,10.689551
249,7434,9.473426
250,7435,10.788765
251,7436,10.221331
252,7438,10.808758
253,7453,10.708964
254,7454,10.71502
255,7456,10.652862
256,7457,11.002344
257,7460,10.670388
258,7461,10.100387
259,7466,11.17466
260,7468,11.233185
261,7472,10.002712
262,7473,9.890843
263,7475,10.215984
264,7476,9.763255
265,7480,10.649647
266,7482,10.857896
267,7483,9.689768
268,7484,11.391675
269,7487,9.243935
270,7489,11.061735
271,7490,10.619958
272,7492,10.263856
273,7493,10.846555
274,7496,10.717382
275,7500,10.142729
276,7504,9.851506
277,7509,9.986666
278,7510,10.669692
279,7511,9.030444
280,7512,11.059124
281,7513,10.785711
282,7514,10.003022
283,7517,11.290023
284,7518,9.156272
285,7521,10.935737
286,7522,10.695223
287,7524,10.179844
288,7529,11.1625805
289,7533,10.9093895
290,7541,10.40025
291,7551,7.309195
292,7553,10.697003
293,7554,10.783789
294,7562,11.008048
295,7563,11.389058
296,7565,10.744496
297,7567,10.250572
298,7568,10.731383
299,7569,10.956277
300,7570,10.32409
301,7572,10.626306
302,7573,11.332056
303,7577,10.7704735
304,7590,10.643851
305,7591,10.648408
306,7592,8.769352
307,7593,10.920526
308,7594,10.229056
309,7595,11.3778515
310,7596,10.833263
311,7598,10.753082
312,7599,10.924931
313,7601,10.371003
314,7606,10.881056
315,7609,10.840537
316,7611,10.721928
317,7618,10.375731
318,7619,10.907989
319,7622,10.999671
320,7623,9.690396
321,7624,10.85209
322,7630,11.174159
323,7634,10.655348
324,7636,10.794583
325,7639,9.759818
326,7641,10.163652
327,7642,11.330308
328,7643,10.537682
329,7644,10.938623
330,7645,11.089465
331,7647,10.272497
332,7649,9.8213
333,7651,10.348209
334,7653,10.254451
335,7656,11.216357
336,7657,11.004788
337,7659,10.145975
338,7663,10.620187
339,7666,9.977905
340,7670,10.414623
341,7675,10.996801
342,7678,10.882762
343,7681,0.43204963
344,7682,10.908099
345,7683,10.762102
346,7684,9.623964
347,7685,10.720014
348,7687,11.54219
349,7688,8.835059
350,7689,10.813918
351,7690,10.54666
352,7691,10.850548
353,7703,10.903612
354,7709,10.752299
355,7711,9.258392
356,7712,10.941329
357,7714,10.984766
358,7715,10.897146
359,7720,10.919017
360,7721,11.008457
361,7722,11.075223
362,7735,9.542234
363,7740,10.139205
364,7742,10.207506
365,7743,10.669992
366,7745,9.677249
367,7746,10.559488
368,7747,9.9699135
369,7749,9.72366
370,7752,10.252314
371,7753,9.979249
372,7755,10.710013
373,7756,9.630542
374,7757,11.237954
375,7758,11.126443
376,7759,11.10153
377,7761,10.766927
378,7765,10.257616
379,7767,10.747716
380,7776,10.283275
381,7777,11.209124
382,7782,10.49871
383,7783,10.687676
384,7784,10.559349
385,7787,11.014622
386,7791,10.340871
387,7793,10.619601
388,7795,9.938878
389,7796,8.652803
390,7797,9.743959
391,7798,10.999475
392,7802,9.12606
393,7803,10.104856
394,7804,9.890342
395,7805,9.739817
396,7809,10.31054
397,7811,10.803545
398,7815,11.2750435
399,7816,10.621076
400,7817,9.520951
401,7824,10.542543
402,7826,11.177485
403,7831,11.084648
404,7839,11.076387
405,7840,10.775665
406,7841,10.790255
407,7846,10.566918
408,7847,10.981197
409,7848,8.599678
410,7849,10.616272
411,7850,9.672502
412,7852,9.166713
413,7854,11.282726
414,7856,10.007449
415,7857,10.457165
416,7858,11.001654
417,7859,10.770778
418,7862,9.161034
419,7864,10.179732
420,7865,11.287917
421,7866,9.957001
422,7867,10.724261
423,7868,10.762549
424,7869,10.34532
425,7870,10.83787
426,7871,10.695262
427,7874,9.80978
428,7875,11.223216
429,7880,11.021491
430,7881,10.989414
431,7882,10.739421
432,7883,11.37307
433,7886,11.095811
434,7888,11.381828
435,7889,10.6663885
436,7890,10.315334
437,7892,10.562668
438,7893,10.781181
439,7895,10.936693
440,7897,10.585964
441,7903,10.806612
442,7906,11.240563
443,7907,11.011872
444,7908,10.739674
445,7911,10.543581
446,7912,11.023725
447,7913,10.438396
448,7914,9.952288
449,7915,10.425903
450,7916,10.928999
451,7918,10.433978
452,7921,10.067351
453,7929,10.224568
454,7933,9.832702
455,7942,10.327017
456,7943,11.033614
457,7944,10.585186
458,7945,9.521593
459,7946,10.956356
460,7947,10.854093
461,7948,9.911475
462,7949,10.223501
463,7952,10.839693
464,7953,10.236261
465,7960,10.91832
466,7961,10.153139
467,7967,10.145662
468,7968,10.097706
469,7969,11.095033
470,7970,9.830318
471,7971,10.245465
472,7972,10.40983
473,7973,10.653743
474,7974,10.681477
475,7975,10.6787815
476,7976,11.244535
477,7979,10.970274
478,7980,9.962551
479,7982,10.862543
480,7983,2.6251264
481,7985,10.506962
482,7990,10.4914665
483,7992,10.934137
484,7996,9.923574
485,7997,10.610288
486,7998,10.751017
487,7999,10.852852
488,8003,9.4778185
489,8004,9.363796
490,8005,10.39059
491,8007,10.505539
492,8008,9.960615
493,8009,10.68108
494,8010,10.92664
495,8011,10.47324
496,8012,10.419165
497,8014,10.65893
498,8016,10.727344
499,8018,10.449838
500,8019,9.3973255
501,8033,10.219523
502,8036,9.197495
503,8037,10.317587
504,8038,10.994372
505,8039,10.751876
506,8041,10.550455
507,8043,11.416177
508,8045,10.081012
509,8046,10.838527
510,8047,9.727726
511,8048,10.675174
512,8050,11.344078
513,8051,10.376075
514,8052,10.303809
515,8053,10.388142
516,8057,10.435224
517,8075,10.847688
518,8076,11.014211
519,8077,9.903932
520,8078,10.807959
521,8079,10.632204
522,8083,10.647213
523,8084,10.838673
524,8087,10.753003
525,8088,10.283967
526,8090,10.342866
527,8091,10.893581
528,8093,10.856945
529,8096,10.834945
530,8097,10.9331045
531,8098,10.495741
532,8102,10.95004
533,8107,10.699184
534,8108,9.931509
535,8114,10.857218
536,8118,10.635999
537,8122,11.191495
538,8123,11.147724
539,8124,11.0302
540,8125,11.379934
541,8127,11.283411
542,8128,10.649299
543,8129,10.541708
544,8130,10.793649
545,8131,10.732038
546,8132,10.025378
547,8134,10.899348
548,8135,10.82816
549,8136,11.3051195
550,8138,10.271048
551,8141,10.644525
552,8143,10.946775
553,8144,10.7935505
554,8145,10.217323
555,8147,10.6621
556,8156,9.517802
557,8159,10.560872
558,8161,10.603044
559,8163,10.7264805
560,8164,9.498768
561,8165,9.856062
562,8166,10.715396
563,8168,10.723954
564,8170,11.122966
565,8172,11.006759
566,8173,11.347381
567,8174,10.823998
568,8176,9.8966675
569,8178,10.130063
570,8184,9.520429
571,8186,9.769226
572,8188,10.327346
573,8191,11.014625
574,8203,10.299926
575,8216,10.167245
576,8217,8.402725
577,8219,11.606274
578,8220,10.081441
579,8221,10.306948
580,8222,10.9068365
581,8223,9.987538
582,8224,10.110994
583,8225,10.858236
584,8226,10.916842
585,8227,10.478522
586,8228,9.995908
587,8237,10.316359
588,8238,10.678751
589,8239,9.222622
590,8241,10.15216
591,8242,11.042967
592,8243,10.724359
593,8245,10.7443075
594,8255,9.461544
595,8258,11.123878
596,8259,10.841703
597,8260,10.409531
598,8262,10.896692
599,8263,10.640027
600,8264,10.269085
601,8268,9.271603
602,8269,9.636366
603,8270,10.215082
604,8276,11.180485
605,8277,10.335965
606,8278,9.381068
607,8279,10.471225
608,8280,10.120836
609,8282,10.851128
610,8286,10.375766
611,8289,10.935215
612,8290,11.299168
613,8293,10.972558
614,8297,9.732057
615,8298,10.77247
616,8299,10.73089
617,8300,9.948024
618,8301,10.395781
619,8302,11.135368
620,8303,10.225103
621,8304,10.928692
622,8305,9.912466
623,8306,10.62583
624,8307,10.146432
625,8308,10.69169
626,8309,10.663391
627,8312,11.328445
628,8314,10.0322075
629,8319,7.371403
630,8320,9.979466
631,8322,10.58954
632,8324,10.835637
633,8325,10.814981
634,8329,11.245114
635,8330,11.2893505
636,8332,10.236927
637,8333,1.141959
638,8334,10.816364
639,8335,9.408713
640,8336,9.683628
641,8337,10.576519
642,8338,10.942318
643,8339,10.757474
644,8340,10.837454
645,8344,10.2430105
646,8345,9.281969
647,8349,10.45077
648,8353,9.272888
649,8358,10.669145
650,8360,10.444661
651,8361,10.32599
652,8363,10.511821
653,8365,10.606687
654,8366,10.875554
655,8367,10.736008
656,8368,11.09206
657,8371,10.887409
658,8377,10.755295
659,8378,11.194956
660,8380,10.401234
661,8382,10.733586
662,8384,10.7318945
663,8385,10.958115
664,8386,10.642148
665,8387,10.82716
666,8388,10.317507
667,8389,11.304222
668,8390,10.415176
669,8391,8.843341
670,8392,10.2049675
671,8393,9.39974
672,8394,9.133829
673,8397,10.862649
674,8399,9.885578
675,8401,10.938298
676,8402,11.122763
677,8403,11.2920065
678,8404,8.808455
679,8405,10.757437
680,8408,10.41698
681,8410,10.353612
682,8414,10.960678
683,8415,10.61792
684,8416,10.360577
685,8417,9.882741
686,8418,10.889221
687,8419,10.923985
688,8420,9.831934
689,8421,10.026218
690,8423,10.542744
691,8426,10.657007
692,8428,11.529945
693,8430,10.8082285
694,8435,10.923656
695,8438,11.187407
696,8441,10.83866
697,8445,10.422555
698,8450,9.553678
699,8452,10.637477
700,8453,9.536161
701,8454,10.802747
702,8455,10.155181
703,8457,10.899253
704,8460,10.784334
705,8461,11.08256
706,8462,11.012316
707,8467,11.066549
708,8470,10.865316
709,8472,10.737777
710,8473,11.0374565
711,8475,10.127056
712,8477,10.662581
713,8485,9.260623
714,8487,10.598074
715,8488,9.312938
716,8490,8.337289
717,8491,9.930806
718,8495,9.833899
719,8496,10.487649
720,8497,10.964869
721,8498,10.726442
722,8499,10.980938
723,8501,10.737177
724,8502,10.432937
725,8505,10.927021
726,8507,11.165956
727,8514,10.665802
728,8517,9.630214
729,8521,11.202753
730,8527,9.682083
731,8533,9.862623
732,8534,10.979844
733,8536,9.606819
734,8538,10.505801
735,8539,10.0263
736,8540,10.05895
737,8541,11.116477
738,8547,10.70519
739,8548,11.058246
740,8550,10.693952
741,8554,11.31865
742,8562,8.392813
